LOT,SPC_OPERATION,ENTITY,CEID,MONITOR_SET_NAME,ENTITY_DATA_COLLECT_DATE,MEASUREMENT_SET_NAME,RAW_PARAMETER_NAME,RAW_VALUE,LIMITS_FLAG,SPC_CHART_CATEGORY,COATER,CR_SPC_CHART_CATEGORY,RESIST,RAW_WAFER_COORD_X,RAW_WAFER_COORD_Y,RAW_WAFER,SA_COATER,SPC_ENTITY_1,SPC_ENTITY_2,SPC_ENTITY_3,SPC_ENTITY_4,SPC_ENTITY_5,SPC_ENTITY_6,SPC_ENTITY_7,SPC_CHART_ORDERED_CAT,RAW_WAFER_1,COMMENT_TEXT,COMMENT_USER,WLT_WAFER,WLT_WAFER3,WLT_SEQUENCE,WLT_MONITOR_TYPE,WLT_MONITOR_SET_NAME,WLT_MONITOR_SET_VERSION,WLT_OPERATION,WLT_ENTITY,WLT_ENTITY_TYPE,WLT_COMPONENT,WLT_COMPONENT_TYPE,WLT_SPC_CONFIG_NAME,WLT_CONTEXT_GROUP,WLT_CUSTOM_CONTEXT_GROUP_ID,WLT_CUSTOM_REACTION,VIOLATION_FLAG,ALL_CHART_FLAG,INCONTROL_FLAG,RESET_FLAG,CHART_PT_LATEST_FLAG,LOTOPERKEY
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,371.858504,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-47.4578,-36.4348,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,370.707188,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,142.401,-36.4348,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,370.502167,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,19.3019,-19.3019,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,374.151087,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-118.655,-3.6622,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,369.70634,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,0.0067,-3.6622,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,371.368698,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,71.2039,-3.6622,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,371.22125,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-57.9062,19.3019,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,370.680929,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,19.3019,19.3019,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,372.566491,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,96.51,19.3019,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,373.15326,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,136.2,19.3019,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,372.53718,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-136.2,57.9062,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,371.448462,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-19.3019,57.9062,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,372.685645,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,57.9062,57.9062,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,372.462471,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,136.2,57.9062,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,373.707697,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-71.1902,61.8829,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,374.387391,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,94.9361,61.8829,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,374.13694,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-96.51,96.51,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,374.090493,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,-57.9062,96.51,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
L935TU00,8281,TAJ701,TAJli,EUV.RESIST_THICKNESS.MFG.MON,2025-04-21 07:23:36,EUV.THICKNESS.MFG,THICKNESS,373.420878,V,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,,19.3019,96.51,DJ3NU011JKG1,,TAJ701,,,,,,,COT=SAJ701_COT121;EXPOSURE_TYPE=EUV;RESIST=6509N;METRO_PLATFORM=TFK_KCD,DJ3NU011JKG1,Entity ID: KCD769,automation,DJ3NU011JKG1,011,0,TOOL MONITOR,EUV.RESIST_THICKNESS.MFG.MON,7,8281,SAJ701,STEPPER,SAJ701_COT121,Coater,COT,,1,,N,,Y,N,Y,4487101457
